run_name,hidden_channels,num_layers,temporal_mode,params,data_size,epochs,lr,train_time_s,best_val_top1,best_val_top3,best_val_v_mse,best_val_q_kl,eval_top1_acc,eval_top3_acc,puzzle_acc,puzzle_n,pearson_r,spearman_rho,ece_before,ece_after,temperature_t,checkpoint
gateau_medium_h128_l4,128,4,global_gru,1374250,50000,1,0.001,10253.387461423874,0.31543624161073824,0.4563758389261745,0.1759752794971778,2.346696993761115,0.27867203219315895,0.5251509054325956,0.248,500,0.6015216443151633,0.6017377501182544,0.05252295775595912,0.04507882938221679,0.7673070391468019,output/gateau_medium_h128_l4.pt
gateau_seq_smoke,64,2,global_gru,207798,30,1,0.001,420.806209564209,0.20408163265306123,0.42857142857142855,0.21091992312529106,2.8972115291624654,0.2022132796780684,0.36016096579476864,0.26,50,0.07547565739625858,0.07550671613011034,0.04337153014208295,0.0033035914424025536,3.115420028957454,output/gateau_seq_smoke.pt
gateau_seq_smoke,64,2,global_gru,207798,30,1,0.001,209.17817091941833,0.1836734693877551,0.46938775510204084,0.20536248431715054,2.864854881349875,0.2022132796780684,0.335010060362173,0.22,50,0.11561291372443709,0.18538266075294008,0.019666448762110544,0.006265577975448133,1.609897714609304,output/gateau_seq_smoke.pt
gateau_seq_smoke,64,2,global_gru,207798,30,1,0.001,45.924686670303345,0.24489795918367346,0.46938775510204084,0.2171579448229898,2.8648398305688585,0.19114688128772636,0.31086519114688127,0.14,50,0.11433636109291699,0.11718879868738936,0.06598071979398945,0.001740042358681193,4.70564332616352,output/gateau_seq_smoke.pt
gateau_seq_smoke,64,2,global_gru,207798,30,1,0.001,45.82996487617493,0.16326530612244897,0.4489795918367347,0.2125745899610017,2.8686442363018894,0.2022132796780684,0.33903420523138833,0.22,50,0.13912734293588871,0.1596710279522288,0.05455133741761664,0.003096220848740172,3.748399010808572,output/gateau_seq_smoke.pt
gateau_sequential_h128_l4,128,4,global_gru,1378634,5000,3,0.001,21216.945558071136,0.348993288590604,0.5302013422818792,0.06160086877825267,2.1540865699366836,0.34004024144869216,0.6539235412474849,0.312,500,0.8039882600789376,0.7942395531857559,0.016823271410496308,0.02105176532087674,1.089941402821603,output/gateau_sequential_h128_l4.pt
gateau_structural_h64_l2_smoke,64,2,global_gru,208118,200,1,0.001,286.199191570282,0.18791946308724833,0.3825503355704698,0.27115378835325776,2.5225175601624,0.22736418511066397,0.44064386317907445,0.26,100,0.12936226419714142,0.14879278819885056,0.03174081689824243,0.01658418708485182,20.085536923187668,output/gateau_structural_h64_l2_smoke.pt
gateau_structural_h192_l5_10k,192,5,global_gru,3718932,10000,5,0.0005,57892.38059306145,0.348993288590604,0.5704697986577181,0.06666263161967652,2.0094671661421755,0.35714285714285715,0.704225352112676,0.36,500,0.7443847658475766,0.7081199951788895,0.03859647087197897,0.029457862439602932,1.2385871760574707,output/gateau_structural_h192_l5_10k.pt
gateau_large_h256_l6_elo1600_smoke,256,6,global_gru,7715678,64,1,0.0003,120.81069922447205,0.16666666666666666,0.4444444444444444,0.11011241795010089,2.98284869061576,0.16535433070866143,0.4566929133858268,0.2,25,-0.2264091947591636,-0.2817343484902935,0.03214604423696965,0.006598454277956356,20.085536923187668,output/gateau_large_h256_l6_elo1600_smoke.pt
gateau_medium_h128_l4_elo1600_e2,128,4,global_gru,1379274,10000,2,0.0007,13288.803880214691,0.32796780684104626,0.528169014084507,0.07680729470755057,2.2362422138261393,0.32696177062374243,0.6740442655935613,0.32,250,0.7801096582151811,0.7586191453898423,0.03223002146267468,0.033342053702980046,0.8279120017520463,output/gateau_medium_h128_l4_elo1600_e2.pt
gateau_medium_h192_l5_elo1600_e2,192,5,global_gru,3718932,10000,2,0.0005,16587.039924383163,0.33601609657947684,0.5372233400402414,0.07776290730221881,2.2226595092392425,0.335010060362173,0.6619718309859155,0.316,250,0.7934476124876494,0.7729921972364565,0.04322905417044488,0.03158247434807061,0.7074193139742907,output/gateau_medium_h192_l5_elo1600_e2.pt
gateau_medium_h192_l5_elo1600_hybrid_smoke,192,5,global_gru,3718932,64,1,0.0005,118.88970375061035,0.16535433070866143,0.3543307086614173,0.2504582125226495,2.6087100085780377,0.16535433070866143,0.4409448818897638,0.19747786423396835,0.44352025757982294,3727,0.16,25,-0.20322131259279877,-0.2246304037456656,0.025844227538573072,0.006914355436011821,20.085536923187668,output/gateau_medium_h192_l5_elo1600_hybrid_smoke.pt
